source,relationship,target,eventid
Computer,blocked_service_connection_to,Application,5031
Computer,permitted_listener_on,Application,5154
Computer,blocked_listener_on,Application,5155
Computer,permitted_inbound_connection_on,Application,5156
Computer,permitted_outbound_connection_on,Application,5156
Computer,blocked_inbound_connection_on,Application,5157
Computer,blocked_outbound_connection_on,Application,5157
Computer,permitted_local_port_bind_on,Application,5158
Computer,blocked_local_port_bind_on,Application,5159
SubjectUserName,created,Computer,4741
SubjectUserName,changed,Computer,4742
SubjectUserName,deleted,Computer,4743
Application,connected_to,DestinationAddress,5156
Image,connected_to,DestinationHostName,3
User,connected_to,DestinationHostName,3
Image,connected_to,DestinationIp,3
User,connected_to,DestinationIp,3
Driver,loaded,Driver,6
Process,raw_access_read,Driver,9
Process,stopped,Firewall Driver,5034
SubjectUserName,stopped,Firewall Driver,5034
ProcessName,stopped,Firewall Service,5025
SubjectUserName,stopped,Firewall Service,5025
ProcessName,closed_a_handle,HandleID,4658
ParentImage,created,Image,1
Process,loaded,ImageLoaded,7
ProcessName,created,NewProcessName,4688
ParentProcessName,created,NewProcessName,4688
Process,attempted,object,4674
Process,requested_a_handle,ObjectName,4656
Process,modified,ObjectName,4657
Process,accessed,ObjectName,4663
Process,deleted,ObjectName,4663
SubjectUserName,requested_a_handle,ObjectName,4656
SubjectUserName,requested_a_handle,ObjectName,4661
SubjectUserName,accessed,ObjectName,4662
SubjectUserName,accessed,ObjectName,4663
SubjectUserName,deleted,ObjectName,4663
SubjectUserName,changed_permissions,ObjectName,4670
SubjectUserName,modified,ObjectName,5136
SubjectUserName,created,ObjectName,5137
SubjectUserName,restored,ObjectName,5138
SubjectUserName,moved,ObjectName,5139
SubjectUserName,deleted,ObjectName,5141
SubjectUserName,accessed,ObjectName,5145
User,requested_a_handle,ObjectName,4656
User,modified,ObjectName,4657
User,accessed,ObjectName,4663
User,deleted,ObjectName,4663
Image,created,PipeName,17
Image,connected_to,PipeName,18
ProcessName,called,PrivilegeList,4673
ProcessName,attempted,PrivilegeList,4674
User,terminated,Process,4689
SubjectUserName,created,ServiceName,4664
SubjectUserName,installed,ServiceName,4697
SubjectUserName,requested,ServiceName,4769
SubjectUserName,renewed,ServiceName,4770
SubjectUserName,requested,ServiceName,4773
SubjectUserName,requested,ServiceName,4768
SubjectUserName,authenticated_with,ServiceName,4771
SubjectUserName,accessed,ShareName,5140
SubjectUserName,added,ShareName,5142
SubjectUserName,modified,ShareName,5143
SubjectUserName,deleted,ShareName,5144
Application,connected_from,SourceAddress,5156
Application,bound _to,SubjectUserName,5158
Computer,authenticated,SubjectUserName,4776
User,created,TargetDomainName,4731
User,deleted,TargetDomainName,4734
User,changed,TargetDomainName,4735
User,created,TargetDomainName,4749
User,changed,TargetDomainName,4750
User,deleted,TargetDomainName,4753
User,changed_type,TargetDomainName,4764
User,enumerated,TargetDomainName,4799
Image,modified,TargetFileName,2
Image,created,TargetFileName,11
SourceImage,wrote_to,TargetImage,8
SourceImage,opened,TargetImage,10
Image,created,TargetObject,12
Image,deleted,TargetObject,12
Image,modified,TargetObject,13
Image,renamed,TargetObject,14
SubjectUserName,granted_access,TargetUserName,4717
SubjectUserName,removed_access,TargetUserName,4718
SubjectUserName,created,TargetUserName,4720
SubjectUserName,enabled,TargetUserName,4722
SubjectUserName,changed_password,TargetUserName,4723
SubjectUserName,reset_password,TargetUserName,4724
SubjectUserName,disabled,TargetUserName,4725
SubjectUserName,deleted,TargetUserName,4726
SubjectUserName,added,TargetUserName,4732
SubjectUserName,removed,TargetUserName,4733
SubjectUserName,changed,TargetUserName,4738
SubjectUserName,locked,TargetUserName,4740
SubjectUserName,added,TargetUserName,4751
SubjectUserName,removed,TargetUserName,4752
SubjectUserName,unlocked,TargetUserName,4767
SubjectUserName,changed_name,TargetUserName,4781
SubjectUserName,enumerated,TargetUserName,4798
User,enumerated,TargetUserName,4799
SubjectUserName,created,TaskName,4698
SubjectUserName,deleted,TaskName,4699
SubjectUserName,enabled,TaskName,4700
SubjectUserName,disabled,TaskName,4701
SubjectUserName,updated,TaskName,4702
Image,terminated,Terminated,5
Process,changed_permissions,win registry key,4670
User,changed_permissions,win registry key,4670
SubjectUserName,authenticated,WorkstationName,4624
SubjectUserName,failed,WorkstationName,4625
SubjectUserName,authenticated,WorkstationName,4648
SubjectUserName,connected_to,WorkstationName,4778
SubjectUserName,disconnected_from,WorkstationName,4779
SubjectUserName,locked,WorkstationName,4800
SubjectUserName,unlocked,WorkstationName,4801
